sites,timestamp,year,month,cld,tmp,pre
AU-GWW,2001-01-16T00:00:00Z,2001,1,21.3999996185303,28,34.7999992370605
AU-GWW,2001-02-15T00:00:00Z,2001,2,27.8999996185303,22.8999996185303,46.5
AU-GWW,2001-03-16T00:00:00Z,2001,3,28.8000011444092,21.5,1.60000002384186
AU-GWW,2001-04-16T00:00:00Z,2001,4,35.4000015258789,20.1000003814697,5
AU-GWW,2001-05-16T00:00:00Z,2001,5,42.9000015258789,15.3000001907349,34.4000015258789
AU-GWW,2001-06-16T00:00:00Z,2001,6,36.7999992370605,11.6000003814697,12
AU-GWW,2001-07-16T00:00:00Z,2001,7,31.8000011444092,11,28
AU-GWW,2001-08-16T00:00:00Z,2001,8,20.1000003814697,11.9000005722046,16.6000003814697
AU-GWW,2001-09-16T00:00:00Z,2001,9,21.8000011444092,15.1999998092651,18.8999996185303
AU-GWW,2001-10-16T00:00:00Z,2001,10,29.3000011444092,16.7000007629395,22.7000007629395
AU-GWW,2001-11-16T00:00:00Z,2001,11,27.3000011444092,21.3999996185303,28.3999996185303
AU-GWW,2001-12-16T00:00:00Z,2001,12,21.3000011444092,22.3999996185303,11.6000003814697
AU-GWW,2002-01-16T00:00:00Z,2002,1,21.2000007629395,25.8000011444092,28.1000003814697
AU-GWW,2002-02-15T00:00:00Z,2002,2,26.2000007629395,23.8000011444092,27.8999996185303
AU-GWW,2002-03-16T00:00:00Z,2002,3,30,24.2000007629395,26.1000003814697
AU-GWW,2002-04-16T00:00:00Z,2002,4,38.9000015258789,20.1000003814697,26.8000011444092
AU-GWW,2002-05-16T00:00:00Z,2002,5,39.1000022888184,17,10.8000001907349
AU-GWW,2002-06-16T00:00:00Z,2002,6,44.2999992370605,12.4000005722046,15.6000003814697
AU-GWW,2002-07-16T00:00:00Z,2002,7,33.2000007629395,12,9
AU-GWW,2002-08-16T00:00:00Z,2002,8,17.8999996185303,12.1000003814697,14.8000001907349
AU-GWW,2002-09-16T00:00:00Z,2002,9,15.9000005722046,15.1999998092651,9.5
AU-GWW,2002-10-16T00:00:00Z,2002,10,17.8999996185303,19.7000007629395,4.20000028610229
AU-GWW,2002-11-16T00:00:00Z,2002,11,25.2000007629395,23.2000007629395,15
AU-GWW,2002-12-16T00:00:00Z,2002,12,21.6000003814697,25.2000007629395,47.5
AU-GWW,2003-01-16T00:00:00Z,2003,1,20.6000003814697,26.3999996185303,14.9000005722046
AU-GWW,2003-02-15T00:00:00Z,2003,2,27,26.8000011444092,71.0999984741211
AU-GWW,2003-03-16T00:00:00Z,2003,3,30.6000003814697,24.3999996185303,36.6000022888184
AU-GWW,2003-04-16T00:00:00Z,2003,4,41.1000022888184,20.5,25.3000011444092
AU-GWW,2003-05-16T00:00:00Z,2003,5,44,16,36.5
AU-GWW,2003-06-16T00:00:00Z,2003,6,43.6000022888184,11.3000001907349,15
AU-GWW,2003-07-16T00:00:00Z,2003,7,36.6000022888184,10.9000005722046,24.5
AU-GWW,2003-08-16T00:00:00Z,2003,8,35.5,11.6000003814697,40.7999992370605
AU-GWW,2003-09-16T00:00:00Z,2003,9,27.8000011444092,14.6999998092651,26.6000003814697
AU-GWW,2003-10-16T00:00:00Z,2003,10,24,18.3000011444092,11.8000001907349
AU-GWW,2003-11-16T00:00:00Z,2003,11,26.8999996185303,22.6000003814697,34.6000022888184
AU-GWW,2003-12-16T00:00:00Z,2003,12,21,25.7000007629395,18.5
AU-GWW,2004-01-16T00:00:00Z,2004,1,20.5,27.1000003814697,33.1000022888184
AU-GWW,2004-02-15T00:00:00Z,2004,2,26.5,27.2000007629395,76.3000030517578
AU-GWW,2004-03-16T00:00:00Z,2004,3,29.1000003814697,21.8000011444092,41.9000015258789
AU-GWW,2004-04-16T00:00:00Z,2004,4,38.2000007629395,19.3999996185303,32.7000007629395
AU-GWW,2004-05-16T00:00:00Z,2004,5,41.7999992370605,13.6999998092651,15.3000001907349
AU-GWW,2004-06-16T00:00:00Z,2004,6,47.7999992370605,13,23.8999996185303
AU-GWW,2004-07-16T00:00:00Z,2004,7,46.2999992370605,10.1999998092651,38.7000007629395
AU-GWW,2004-08-16T00:00:00Z,2004,8,29,10.8000001907349,15.9000005722046
AU-GWW,2004-09-16T00:00:00Z,2004,9,19.6000003814697,14.9000005722046,13.1000003814697
AU-GWW,2004-10-16T00:00:00Z,2004,10,19.7000007629395,20.2000007629395,16.7000007629395
AU-GWW,2004-11-16T00:00:00Z,2004,11,28.6000003814697,21.8000011444092,9
AU-GWW,2004-12-16T00:00:00Z,2004,12,21,26.2000007629395,16.8999996185303
AU-GWW,2005-01-16T00:00:00Z,2005,1,20.2000007629395,26.3999996185303,5.40000009536743
AU-GWW,2005-02-15T00:00:00Z,2005,2,27.3000011444092,26.8999996185303,3.10000014305115
AU-GWW,2005-03-16T00:00:00Z,2005,3,31,25.6000003814697,33.2000007629395
AU-GWW,2005-04-16T00:00:00Z,2005,4,37.6000022888184,20.3999996185303,17.6000003814697
AU-GWW,2005-05-16T00:00:00Z,2005,5,48.7999992370605,17,39.1000022888184
AU-GWW,2005-06-16T00:00:00Z,2005,6,50.2999992370605,11.5,39.7000007629395
AU-GWW,2005-07-16T00:00:00Z,2005,7,31.6000003814697,10.5,3.40000009536743
AU-GWW,2005-08-16T00:00:00Z,2005,8,28,11.5,56.4000015258789
AU-GWW,2005-09-16T00:00:00Z,2005,9,28.5,14.3000001907349,17
AU-GWW,2005-10-16T00:00:00Z,2005,10,24,17.5,9
AU-GWW,2005-11-16T00:00:00Z,2005,11,25.8999996185303,21.7000007629395,9.5
AU-GWW,2005-12-16T00:00:00Z,2005,12,22.5,23.8999996185303,2.40000009536743
AU-GWW,2006-01-16T00:00:00Z,2006,1,22.3999996185303,25.6000003814697,90.0999984741211
AU-GWW,2006-02-15T00:00:00Z,2006,2,26.7000007629395,25,34
AU-GWW,2006-03-16T00:00:00Z,2006,3,29.7000007629395,23.2000007629395,68
AU-GWW,2006-04-16T00:00:00Z,2006,4,40.1000022888184,16.8000011444092,29.7000007629395
AU-GWW,2006-05-16T00:00:00Z,2006,5,36.7999992370605,14.8000001907349,16
AU-GWW,2006-06-16T00:00:00Z,2006,6,39.2999992370605,10.4000005722046,4.30000019073486
AU-GWW,2006-07-16T00:00:00Z,2006,7,27.2000007629395,10,7.90000009536743
AU-GWW,2006-08-16T00:00:00Z,2006,8,19.3000011444092,13.5,6.59999990463257
AU-GWW,2006-09-16T00:00:00Z,2006,9,26.3999996185303,15.8000001907349,30.6000003814697
AU-GWW,2006-10-16T00:00:00Z,2006,10,21,19.7000007629395,14.5
AU-GWW,2006-11-16T00:00:00Z,2006,11,28.1000003814697,23.8999996185303,15.6999998092651
AU-GWW,2006-12-16T00:00:00Z,2006,12,21,25.3999996185303,35.1000022888184
AU-GWW,2007-01-16T00:00:00Z,2007,1,21.7000007629395,25.2000007629395,52.9000015258789
AU-GWW,2007-02-15T00:00:00Z,2007,2,27.6000003814697,26.2000007629395,34.2000007629395
AU-GWW,2007-03-16T00:00:00Z,2007,3,29,22.7000007629395,13.9000005722046
AU-GWW,2007-04-16T00:00:00Z,2007,4,37.2999992370605,19.1000003814697,11.6000003814697
AU-GWW,2007-05-16T00:00:00Z,2007,5,39.6000022888184,13.8000001907349,6.5
AU-GWW,2007-06-16T00:00:00Z,2007,6,43.2999992370605,11.4000005722046,22.6000003814697
AU-GWW,2007-07-16T00:00:00Z,2007,7,38.7999992370605,12.1000003814697,23.2000007629395
AU-GWW,2007-08-16T00:00:00Z,2007,8,18.3999996185303,12.4000005722046,7.20000028610229
AU-GWW,2007-09-16T00:00:00Z,2007,9,17.3999996185303,15,7.90000009536743
AU-GWW,2007-10-16T00:00:00Z,2007,10,22.3999996185303,18.3999996185303,8.30000019073486
AU-GWW,2007-11-16T00:00:00Z,2007,11,24.8000011444092,23.3999996185303,4.59999990463257
AU-GWW,2007-12-16T00:00:00Z,2007,12,22.3000011444092,23.3999996185303,38.1000022888184
AU-GWW,2008-01-16T00:00:00Z,2008,1,20.8999996185303,27.2000007629395,8.10000038146973
