TIME,TIMESTAMP_START,TA_F,SW_IN_POT,SW_IN_F,VPD_F,PPFD_IN,P_F,CO2_F_MDS,CO2_F_MDS_QC,NIGHT,NEE_VUT_REF_QC,NEE_VUT_REF,GPP_DT_VUT_REF,GPP_DT_VUT_05,GPP_DT_VUT_95
2013-01-01 00:00:00,201301010000,31.73,0,0,38.876,0,0,386.5,0,1,1,1.13125,0,0,0
2013-01-01 00:30:00,201301010030,31.13,0,0,37.122,0,0,387.1,0,1,1,1.13241,0,0,0
2013-01-01 01:00:00,201301010100,30.58,0,0,35.538,0,0,388.1,0,1,1,1.07545,0,0,0
2013-01-01 01:30:00,201301010130,29.25,0,0,32.52,0,0,389.2,0,1,1,0.934444,0,0,0
2013-01-01 02:00:00,201301010200,28.88,0,0,31.434,0,0,389.1,0,1,1,0.9075,0,0,0
2013-01-01 02:30:00,201301010230,30.05,0,0,34.051,0,0,387,0,1,1,1.03233,0,0,0
2013-01-01 03:00:00,201301010300,30.37,0,0,35.114,0,0,387,0,1,1,1.07962,0,0,0
2013-01-01 03:30:00,201301010330,30.27,0,0,34.914,0,0,386.6,0,1,1,1.04345,0,0,0
2013-01-01 04:00:00,201301010400,29.94,0,0,34.26,0,0,386.4,0,1,1,0.991,0,0,0
2013-01-01 04:30:00,201301010430,29.29,0,0,32.595,0,0,386.9,0,1,1,0.944271,0,0,0
2013-01-01 05:00:00,201301010500,28.24,58.0749,15,30.289,30.6,0,387.2,0,0,1,0.847428,0.143641,0.104962,0.15248
2013-01-01 05:30:00,201301010530,28.33,204.036,95,30.448,193.8,0,386.9,0,0,2,-0.225555,0.671448,0.54885,0.671448
2013-01-01 06:00:00,201301010600,28.84,352.092,141,31.759,287.64,0,386.2,0,0,2,-0.428333,0.849133,0.665787,0.849133
2013-01-01 06:30:00,201301010630,29.62,498.923,267,33.22,544.68,0,387.5,0,0,1,-1.04444,1.1382,0.781929,1.1382
2013-01-01 07:00:00,201301010700,31.87,642.017,429,39.186,875.16,0,386.6,0,0,2,-1.17,1.15065,0.597006,1.20732
2013-01-01 07:30:00,201301010730,33.76,778.926,256,45.674,522.24,0,384.9,0,0,1,-0.535263,0.833954,0.370213,0.851955
2013-01-01 08:00:00,201301010800,35.09,907.307,654,49.739,1334.16,0,384.3,0,0,0,-0.4,0.907672,0.302257,1.05875
2013-01-01 08:30:00,201301010830,36.15,1024.96,756,53.325,1542.24,0,384.1,0,0,0,0.403333,0.82072,0.235952,0.986064
2013-01-01 09:00:00,201301010900,37,1129.88,782,55.859,1595.28,0,384.1,0,0,0,-0.56,0.756118,0.197242,0.921582
2013-01-01 09:30:00,201301010930,37.59,1220.27,917,57.68,1870.68,0,383.9,0,0,0,0.943333,0.72011,0.17371,0.89371
2013-01-01 10:00:00,201301011000,37.96,1294.58,977,58.847,1993.08,0,383.3,0,0,0,-2.23,0.694734,0.15992,0.86954
2013-01-01 10:30:00,201301011030,38.6,1351.53,1028,60.915,2097.12,0,383.2,0,0,0,-1.01333,0.6484,0.137921,0.820593
2013-01-01 11:00:00,201301011100,38.86,1390.17,1070,61.773,2182.8,0,383.2,0,0,1,-0.194286,0.630607,0.129715,0.802324
2013-01-01 11:30:00,201301011130,39.18,1409.81,1076,62.843,2195.04,0,383.1,0,0,1,-0.134074,0.607408,0.120093,0.776268
2013-01-01 12:00:00,201301011200,39.62,1410.13,1159,65.064,2364.36,0,383.3,0,0,2,0.249166,0.563473,0.102368,0.728523
2013-01-01 12:30:00,201301011230,39.76,1391.13,851,65.552,1736.04,0,383.4,0,0,1,-0.278667,0.544565,0.098556,0.69586
2013-01-01 13:00:00,201301011300,39.99,1353.12,811,66.361,1654.44,0,383.5,0,0,1,-0.964546,0.527729,0.092928,0.67496
2013-01-01 13:30:00,201301011330,39.82,1296.76,543,65.762,1107.72,0,383.7,0,0,1,-0.47,0.522215,0.096533,0.650201
2013-01-01 14:00:00,201301011400,40.26,1223.01,538,67.322,1097.52,0,383.7,0,0,0,-2.36,0.494821,0.086299,0.620247
2013-01-01 14:30:00,201301011430,40,1133.14,270,66.396,550.8,0,383.7,0,0,0,-0.92,0.467684,0.090887,0.548713
2013-01-01 15:00:00,201301011500,40.43,1028.68,604,67.933,1232.16,0,383.9,0,0,0,0.776667,0.489313,0.082714,0.619723
2013-01-01 15:30:00,201301011530,40.84,911.414,668,69.427,1362.72,0,383.8,0,0,1,0.305,0.468062,0.074355,0.600218
2013-01-01 16:00:00,201301011600,40.69,783.355,340,68.877,693.6,0,383.7,0,0,1,-1.17417,0.447076,0.07662,0.544484
2013-01-01 16:30:00,201301011630,40.76,646.694,309,69.133,630.36,0,383.5,0,0,0,-3.41667,0.437769,0.075087,0.529106
2013-01-01 17:00:00,201301011700,41.25,503.767,370,71.737,754.8,0,383.5,0,0,0,-1.23,0.410876,0.062525,0.511698
2013-01-01 17:30:00,201301011730,40.71,357.02,236,68.95,481.44,0,385.4,0,0,1,-0.23,0.422209,0.075573,0.495481
2013-01-01 18:00:00,201301011800,40.56,208.964,65,68.404,132.6,0,382.8,0,0,0,-1.61667,0.292731,0.073,0.292731
2013-01-01 18:30:00,201301011830,40.25,62.4977,13,67.286,26.52,0,383,0,0,0,0.216667,0.107075,0.055326,0.107075
2013-01-01 19:00:00,201301011900,39.79,0,0,64.927,0,0,383,0,1,1,1.04067,0,0,0
2013-01-01 19:30:00,201301011930,39.55,0,0,64.1,0,0,383,0,1,1,1.04067,0,0,0
2013-01-01 20:00:00,201301012000,39.05,0,0,62.406,0,0,383.6,0,1,1,1.00167,0,0,0
2013-01-01 20:30:00,201301012030,38.54,0,0,60.718,0,0,383.1,0,1,1,1.245,0,0,0
2013-01-01 21:00:00,201301012100,38.51,0,0,60.62,0,0,383.3,0,1,1,1.245,0,0,0
2013-01-01 21:30:00,201301012130,36.82,0,0,54.693,0,0,386.2,0,1,2,2.23611,0,0,0
2013-01-01 22:00:00,201301012200,37.34,0,0,56.902,0,0,384.4,0,1,2,2.46833,0,0,0
2013-01-01 22:30:00,201301012230,36.31,0,0,53.19,0,0,385.3,0,1,2,2.754,0,0,0
2013-01-01 23:00:00,201301012300,33.74,0,0,40.904,0,0,385.8,0,1,1,1.21651,0,0,0
2013-01-01 23:30:00,201301012330,32.82,0,0,33.87,0,0,381.1,0,1,1,1.05822,0,0,0
2013-01-02 00:00:00,201301020000,32.3,0,0,31.926,0,0,380.3,0,1,0,1.20333,0,0,0
2013-01-02 00:30:00,201301020030,31.57,0,0,30.171,0,0,379.936,1,1,1,0.995766,0,0,0
2013-01-02 01:00:00,201301020100,30.95,0,0,28.678,0,0,380.2,0,1,1,0.95075,0,0,0
2013-01-02 01:30:00,201301020130,30.5,0,0,27.515,0,0,380.3,0,1,0,0.833333,0,0,0
2013-01-02 02:00:00,201301020200,30.16,0,0,26.128,0,0,380.4,0,1,0,0.933333,0,0,0
2013-01-02 02:30:00,201301020230,30.08,0,0,26.008,0,0,380.3,0,1,1,0.862323,0,0,0
2013-01-02 03:00:00,201301020300,29.69,0,0,25.016,0,0,380.7,0,1,1,0.841494,0,0,0
2013-01-02 03:30:00,201301020330,29.02,0,0,23.667,0,0,381.9,0,1,1,0.785652,0,0,0
2013-01-02 04:00:00,201301020400,28.21,0,0,21.816,0,0,382.5,0,1,1,0.768518,0,0,0
2013-01-02 04:30:00,201301020430,27.8,0,0,21.302,0,0,382.6,0,1,1,0.768518,0,0,0
2013-01-02 05:00:00,201301020500,27.66,52.9144,10,21.128,20.4,0,382.6,0,0,0,0.95,0.099215,0.071415,0.110167
2013-01-02 05:30:00,201301020530,27.45,198.153,43,20.871,87.72,0,382.6,0,0,0,0.62,0.385893,0.28888,0.415445
2013-01-02 06:00:00,201301020600,28.62,346.296,134,23.517,273.36,0,380.8,0,0,0,-2.13,0.921832,0.758228,0.921832
2013-01-02 06:30:00,201301020630,30.74,493.297,265,28.78,540.6,0,379.9,0,0,0,-1.22,1.24574,0.982445,1.24574
2013-01-02 07:00:00,201301020700,32.08,636.643,426,32.009,869.04,0,380,0,0,0,-0.306667,1.38986,0.928485,1.39293
2013-01-02 07:30:00,201301020730,33.52,773.88,258,36.26,526.32,0,380,0,0,0,-0.32,1.04912,0.655071,1.04912
2013-01-02 08:00:00,201301020800,34.04,902.66,645,37.86,1315.8,0,379.8,0,0,0,-0.0766667,1.31256,0.679484,1.43246
2013-01-02 08:30:00,201301020830,34.7,1020.78,746,39.827,1521.84,0,379.8,0,0,0,-0.06,1.26894,0.602628,1.42094
2013-01-02 09:00:00,201301020900,35.12,1126.22,778,41.329,1587.12,0,380,0,0,0,-0.403333,1.21848,0.545567,1.3809
2013-01-02 09:30:00,201301020930,35.87,1217.17,906,44.252,1848.24,0,380.1,0,0,0,1.32333,1.13202,0.449338,1.31915
2013-01-02 10:00:00,201301021000,37.32,1292.08,962,49.815,1962.48,0,380.3,0,0,0,-2.48333,0.946352,0.304547,1.13735
2013-01-02 10:30:00,201301021030,38.14,1349.67,1008,54.081,2056.32,0,380.7,0,0,0,-1.82667,0.821383,0.225083,1.0091
2013-01-02 11:00:00,201301021100,39.06,1388.95,1041,59.633,2123.64,0,381.3,0,0,0,0.76,0.678767,0.151269,0.855085
2013-01-02 11:30:00,201301021130,39.59,1409.24,1034,62.794,2109.36,0,381.7,0,0,0,0.443333,0.607101,0.12047,0.774344
2013-01-02 12:00:00,201301021200,40.14,1410.21,1035,66.15,2111.4,0,381.7,0,0,0,0.69,0.539105,0.094559,0.696721
2013-01-02 12:30:00,201301021230,40.57,1391.84,1070,67.68,2182.8,0,381.8,0,0,0,-0.896667,0.511347,0.08468,0.665593
2013-01-02 13:00:00,201301021300,40.64,1354.43,452,68.695,922.08,0,382.4,0,0,1,-0.450953,0.464589,0.078005,0.578888
2013-01-02 13:30:00,201301021330,40.73,1298.64,446,69.023,909.84,0,382.4,0,0,1,-0.556668,0.45887,0.076175,0.572105
2013-01-02 14:00:00,201301021400,40.7,1225.41,579,68.914,1181.16,0,382.7,0,0,0,1.42,0.471464,0.077038,0.59818
2013-01-02 14:30:00,201301021430,41.12,1135.99,820,70.463,1672.8,0,383.7,0,0,0,-0.886667,0.457016,0.069115,0.594622
